Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
2638,NB 50 St between 84 - 90 Ave,60,(h),53.52071876,-113.41843275,"(53.52071875780503, -113.41843275110577)"
2770,WB 40 Ave between 107 - 111 St,50,"(b), (c), (f), (h)",53.47586251,-113.51295287,"(53.475862508727175, -113.51295287192254)"
4264,NB 59A St Btwn 159 - 162 Ave,30,(f),53.62128534,-113.43071337,"(53.62128533691513, -113.43071336571727)"
4139,WB McConachie Dr Btwn 58 St - McConachie Way,30,(f),53.63192000,-113.42392007,"(53.631920002205185, -113.42392007270138)"
4265,SB 59A St Btwn 162-159 Ave,30,(f),53.62128534,-113.43071337,"(53.62128533691513, -113.43071336571727)"
2553,NB 106 St between 45 - 48 Ave,50,(c),53.48476108,-113.50427766,"(53.48476108360112, -113.5042776612978)"
4181,NB Windermere Rd Btwn Windermere Blvd-Whitelaw Ln,30,(f),53.44112794,-113.61706553,"(53.44112794183161, -113.61706553120518)"
2787,EB 132 Ave between 66 St - Fort Rd,50,"(a), (h)",53.59224906,-113.43708653,"(53.592249056423725, -113.43708652543764)"
4243,WB 92 Ave Btwn 159 St - E of 163 St,30,(f),53.52668960,-113.59599539,"(53.526689601564875, -113.59599538794484)"
2353,WB 94B Ave btwn 61 - 68 St,40,(h),53.53391167,-113.42970693,"(53.53391166901318, -113.42970693160535)"
7084,SB 40 St between 137 - 132 Ave,50,(h),53.59520439,-113.40245086,"(53.5952043943003, -113.40245085773122)"
4039,WB 38 Ave W of 55 St - Grand Meadow Cres,30,(f),53.47312159,-113.42754125,"(53.473121593061876, -113.42754125443192)"
4034,SB 115 St btwn 48 - 46 Ave,30,(f),53.48478059,-113.52881315,"(53.48478058565404, -113.5288131539037)"
4114,EB 76 Ave btwn 106 - 105 St,30,(f),53.51227347,-113.50245064,"(53.51227346902059, -113.50245064070845)"
2518,SB 109 St between 110 - 108 Ave,50,"(a), (b), (f), (h)",53.55486531,-113.50852235,"(53.55486530627489, -113.50852234993984)"
2452,EB 144 Avenue between 79 - 77 Street,50,(h),53.60684951,-113.46181682,"(53.60684951102464, -113.46181682352339)"
4171,WB Hemmingway Rd Btwn 201-204 St,30,(f),53.48787239,-113.67022116,"(53.48787239238095, -113.67022115635118)"
4180,SB Windermere Rd Btwn Whitelaw Ln-Windermere Blvd,30,(f),53.44112794,-113.61706553,"(53.44112794183161, -113.61706553120518)"
4242,EB 92 Ave E of 163 - 160 St,30,(f),53.52668960,-113.59599539,"(53.526689601564875, -113.59599538794484)"
4138,EB McConachie Dr Btwn McConachie Way - 58 St,30,(f),53.63192000,-113.42392007,"(53.631920002205185, -113.42392007270138)"
4193,EB 40 Ave Btwn 119 - 115 A St,30,(f),53.47627954,-113.53524097,"(53.476279539661796, -113.53524096589928)"
2647,EB 144 Ave between 57 - 54 St,50,"(f), (h)",53.60683200,-113.42645384,"(53.60683200388742, -113.42645384203917)"
4124,SB 184 St btwn 57 Ave - N of 52 Ave,30,(f),53.48997543,-113.64130604,"(53.48997543482595, -113.64130603806744)"
4104,EB 93A Ave btwn 67A St - 58 St,30,(f),53.53043800,-113.42743264,"(53.53043799936681, -113.42743263887124)"
4117,SB 76 St south of 40 - 38 Ave,30,(f),53.47490073,-113.45032620,"(53.47490073163009, -113.45032619518419)"
2587,EB 51 Ave between 116 - 114 St,50,(h),53.48821440,-113.52787779,"(53.48821439609231, -113.52787778827974)"
2632,EB 106 Ave between Fulton Dr - 65 St,50,(h),53.54925764,-113.43199190,"(53.549257641684676, -113.43199190399541)"
4030,SB Riverbend Rd btwn 56 - 53  Ave,30,(f),53.49209992,-113.57825354,"(53.49209991758165, -113.57825353692337)"
387,SB 104 St Between Univ. Ave. - 73 Ave.,50,"(f), (h)",53.51047043,-113.49767867,"(53.510470430849715, -113.49767866621947)"
4234,EB 110 Ave Btwn 161 - 159 St,30,(f),53.55604253,-113.59660720,"(53.55604252691969, -113.59660720169386)"
7054,WB 4 Ave SW btwn 50 - 52 St,50,(h),53.42862244,-113.42045222,"(53.42862243848165, -113.4204522152577)"
4088,EB 37A Ave E of 28 - 23 St,30,(f),53.47252750,-113.37907126,"(53.472527499479035, -113.37907125646824)"
4237,SB 54 St Btwn 122-121 Ave,30,(f),53.57589554,-113.42457324,"(53.57589553708274, -113.42457323824965)"
2692,EB 90 Ave between 73 - 71 St,60,(h),53.52518787,-113.43834454,"(53.52518787048792, -113.43834453770761)"
4118,SB 96 St N of 68 - 66 Ave,30,(f),53.50388979,-113.47644333,"(53.50388978805928, -113.47644332823741)"
4111,NB 96 St btwn 66 Ave - N of 68 Ave,30,(f),53.50406951,-113.47644314,"(53.50406950833476, -113.4764431359058)"
4147,EB 132 Ave Btwn 113A - E of 109 St,30,(f),53.59212146,-113.51206262,"(53.592121460358854, -113.5120626185371)"
4178,EB 64 Ave Btwn 177-172 St,30,(f),53.50026948,-113.62386994,"(53.500269484053426, -113.6238699448361)"
2469,EB 132 Ave between 123 - 121 St,50,"(b), (h)",53.59216642,-113.53195635,"(53.59216641826184, -113.53195634956019)"
2690,WB 90 Ave between 68 - 71 St,60,(h),53.52527888,-113.43415888,"(53.52527888259998, -113.43415887698822)"
4173,SB 90 St Btwn 135 - 132 Ave,30,(f),53.59403769,-113.47973421,"(53.59403769067169, -113.4797342132804)"
4259,WB 109A Ave Btwn 135-139 St,30,(f),53.55577479,-113.55844832,"(53.555774785818386, -113.55844831852195)"
4153,EB 144 Ave btwn 88A -E of 87 St,30,(f),53.60610747,-113.47486485,"(53.60610747432727, -113.47486484823814)"
4053,NB 106 St btwn 40 - 42 Ave,30,(f),53.47641338,-113.50431062,"(53.47641338210834, -113.50431062193952)"
7094,SB 121 St between Yellowhead Tr - Kingsway Ave,60,(c),53.57714222,-113.53072241,"(53.57714221752638, -113.53072241132087)"
7220,SB Sask Dr between 87 - University Ave,50,"(c), (h)",53.52091006,-113.53885643,"(53.52091006427994, -113.53885642860251)"
7055,EB 4 Ave SW btwn 52 - 50 St,50,(h),53.42862244,-113.42046175,"(53.428622437630885, -113.42046174696797)"
2588,WB 51 Ave between 114 - 116 St,50,(h),53.48832328,-113.52787750,"(53.4883232767095, -113.52787750170776)"
4236,NB 54 St Btwn 121 - 122 Ave,30,(f),53.57589554,-113.42457324,"(53.57589553708274, -113.42457323824965)"
2655,EB 95 Ave between 154 - 152 St,50,"(f), (h)",53.53153385,-113.58505458,"(53.53153385142836, -113.58505457620178)"
2711,NB 79 St between 103 - 105 Ave,50,(h),53.54633354,-113.44929002,"(53.54633354164507, -113.44929002424692)"
4131,NB 127 St Btwn 115 - N of 116 ave,30,(f),53.56640356,-113.54118385,"(53.56640356243758, -113.54118385049571)"
2748,SB 50 St between 124 - 122 Ave,50,(h),53.57833203,-113.41837579,"(53.578332030686326, -113.4183757852499)"
4146,WB 132 Ave E of 109 - 113A St,30,(f),53.59212146,-113.51206262,"(53.592121460358854, -113.5120626185371)"
4040,EB 38 Ave btwn Grand Meadow Cres - W of 55 St,30,(f),53.47312159,-113.42754125,"(53.473121593061876, -113.42754125443192)"
4121,WB 132 Ave btwn 72 - W of 76 St,30,(f),53.59224183,-113.45567120,"(53.59224183366425, -113.45567119624538)"
2530,WB 144 Ave between 77 - 79 St,50,(h),53.60697802,-113.46181613,"(53.60697801731469, -113.46181612937797)"
2768,WB Buena Vista Rd between 138 - 142 St,50,(h),53.51939604,-113.56257128,"(53.519396036768505, -113.56257127611673)"
4029,NB Riverbend Rd btwn 53 - 56 Ave,30,(f),53.49210899,-113.57825364,"(53.49210899346551, -113.57825364289299)"
7006,NB Anth. Henday Dr. south of N. Sask River,100,(a),53.45697847,-113.61071730,"(53.45697846602743, -113.61071730155143)"
7221,SB St Albert Tr between 134 - 132 Ave,60,"(a), (c)",53.59348307,-113.56879549,"(53.593483072034445, -113.56879548728857)"
4018,EB 132 Ave btwn 137 - 135 St,30,(f),53.59262311,-113.55497982,"(53.592623106852706, -113.55497981514613)"
4098,EB 144 Ave btwn 74 - 69 St,30,(f),53.60567093,-113.45047790,"(53.605670934200056, -113.450477901203)"
2631,EB 139 Ave between 119 - 117 St,50,(h),53.60141339,-113.52349919,"(53.601413386715265, -113.52349919038123)"
2689,EB 90 Ave between 58 - 57 St,60,(h),53.52336651,-113.42392515,"(53.52336651068132, -113.42392515286636)"
4057,NB 88A St btwn 150 - 144 Ave,30,(f),53.60852194,-113.47673244,"(53.60852194426304, -113.47673244202491)"
4087,WB 37A Ave btwn 23 St - E of 28 St,30,(f),53.47252750,-113.37907126,"(53.472527499479035, -113.37907125646824)"
4058,SB 88A St btwn 144 - 150 Ave,30,(f),53.60852194,-113.47673244,"(53.60852194426304, -113.47673244202491)"
4113,WB 76 Ave btwn 105 - 106 St,30,(f),53.51227347,-113.50245064,"(53.51227346902059, -113.50245064070845)"
2543,EB 82 Ave between 89 - 87 St,50,(c),53.51802663,-113.46439597,"(53.518026625881376, -113.4643959671418)"
2671,SB 163 St between 93 - 92 Ave,50,"(b), (f), (h)",53.52753902,-113.60274611,"(53.527539024108236, -113.60274610892697)"
4055,NB 106 St btwn 36A - 40 Ave,30,(f),53.47360028,-113.50414840,"(53.47360028471193, -113.50414839705496)"
7044,EB Yellowhead Tr at 215 St,100,"(a), (b), (c)",53.57004750,-113.68955622,"(53.57004750075467, -113.68955622353262)"
4179,WB 64 Ave Btwn 172-177 St,30,(f),53.50026948,-113.62386994,"(53.500269484053426, -113.6238699448361)"
2620,SB 50 St between Fulton Rd - 101A Ave,50,"(c), (h)",53.54501797,-113.41870308,"(53.545017973609056, -113.41870307708544)"
2795,NB 159 St between Whitemud Dr - 87 Ave,60,"(c), (h)",53.51546680,-113.59670603,"(53.515466801654995, -113.59670602603825)"
2722,SB 101 St between 108 - 107A Ave,50,(h),53.55228268,-113.49371677,"(53.552282684355454, -113.49371676559429)"
2528,EB 51 Ave between 122 - 116 St,50,(h),53.48823317,-113.53622219,"(53.488233168359486, -113.53622219056896)"
4092,EB 144 Ave E of 92 St - 88A St,30,(f),53.60569337,-113.47868780,"(53.60569336769512, -113.4786878038352)"
4182,SB 106 St Btwn 60A - 56 Ave,30,(f),53.49477751,-113.50440225,"(53.494777511750634, -113.50440225299741)"
4140,WB Hermitage Rd Btwn Hunt Rd - Huffman Cres,30,(f),53.58078535,-113.38920102,"(53.580785351616605, -113.38920101798087)"
2712,SB 79 St between 105 - 103 Ave,50,(h),53.54633354,-113.44929002,"(53.54633354164507, -113.44929002424692)"
4115,NB 76 St btwn 38 Ave south of 40 Ave,30,(f),53.47490073,-113.45032620,"(53.47490073163009, -113.45032619518419)"
4141,EB Hermitage Rd Btwn Huffman Cres - Hunt Rd,30,(f),53.58067080,-113.38930261,"(53.580670804012364, -113.38930261294406)"
4119,SB 106 St btwn 42 - 40 Ave,30,(f),53.47654717,-113.50444638,"(53.476547167667015, -113.50444637510853)"
4230,EB 144 Ave Btwn 62 - 57 Street,30,(f),53.60551225,-113.43324387,"(53.60551225162008, -113.43324386908137)"
301,WB Whitemud Dr. at Rainbow Valley Bridge,80,(a),53.48260935,-113.55484121,"(53.48260934952588, -113.55484121000502)"
4170,EB Hemmingway Rd Btwn 204 - 201 St,30,(f),53.48787239,-113.67022116,"(53.48787239238095, -113.67022115635118)"
4013,WB 132 Ave btwn 86 - 88 St,30,(f),53.59217056,-113.47441624,"(53.592170557812096, -113.47441623600164)"
4123,NB 184 St - N of Dechene Rd - 57 Ave,30,(f),53.48997543,-113.64130604,"(53.48997543482595, -113.64130603806744)"
7075,WB Yellowhead Tr at 7710 Yellowhead Tr,70,"(b), (c)",53.58250717,-113.45958783,"(53.58250716540834, -113.45958783296466)"
4177,SB 163 St Btwn 104 - 103 Ave,30,(f),53.54563480,-113.60263291,"(53.54563480320573, -113.60263290746697)"
2756,WB 82 Ave between 91 - 95A St,50,"(c), (h)",53.51807394,-113.47154945,"(53.51807393531409, -113.47154944910467)"
4042,EB 40 Ave E of Granlea Crescent - 57 St,30,(f),53.47692316,-113.42572435,"(53.47692316015591, -113.42572434544937)"
2720,EB 107 Ave between 113 - 110 St,50,(h),53.55140855,-113.51302475,"(53.55140855278234, -113.51302475188886)"
2716,NB 97 St between 108 - 110 Ave,50,(h),53.55546299,-113.49091409,"(53.555462988897744, -113.49091409429475)"
2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,50,"(b), (c)",53.57028390,-113.45725096,"(53.57028390232364, -113.45725095936686)"
7066,SB Wayne Gretzky Dr btw Ada Blvd-Capilano Bridge,80,(a),53.55865978,-113.44107207,"(53.558659779257994, -113.44107207180616)"
4152,WB 144 Ave E of  87 - 88A St,30,(f),53.60622462,-113.47490816,"(53.60622462374277, -113.47490816474934)"
4192,WB 40 Ave Btwn 115 A - 119 St,30,(f),53.47639220,-113.53521476,"(53.47639219894289, -113.53521476088493)"
7196,WB Anthony Henday Dr between 18 - 66 St,100,"(a), (b), (c)",53.63757881,-113.40232135,"(53.637578811726904, -113.40232134694827)"
4041,WB 40 Ave btwn 57 St - E of Granlea Crescent,30,(f),53.47692316,-113.42572435,"(53.47692316015591, -113.42572434544937)"
2701,EB 112 Ave btwn 55 - 53 St,50,(h),53.56725996,-113.42460532,"(53.56725995687313, -113.42460531605064)"
2502,WB 82 Ave between 87 - 89 St,50,(c),53.51802814,-113.46287313,"(53.5180281449368, -113.46287312617724)"
4235,WB 110 Ave Btwn 159-161 St,30,(f),53.55604253,-113.59660720,"(53.55604252691969, -113.59660720169386)"
7067,SB Wayne Gretzky Dr btwn Capilano Bridge-106 Ave,80,(a),53.55182598,-113.43783426,"(53.55182597727543, -113.43783425733217)"
7059,NB Wayne Gretzky Dr. -  Capilano Bridge-Ada Blvd,80,(a),53.55870355,-113.44088065,"(53.55870355152622, -113.44088064915107)"
2645,SB 142 St between 96 - 95 Ave,60,(h),53.53257774,-113.56556903,"(53.53257773949817, -113.56556902926202)"
2719,WB 107 Ave between 110 - 113 St,50,(h),53.55140855,-113.51302475,"(53.55140855278234, -113.51302475188886)"
2577,EB 144 Ave between 94 - 92 St,50,"(a), (f), (h)",53.60602927,-113.48376833,"(53.60602926817447, -113.4837683258007)"
4195,SB 79 St Btwn 95 - 94 Ave,30,(f),53.53195597,-113.44808665,"(53.53195597165733, -113.44808664539325)"
7081,EB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64668383,-113.48927634,"(53.64668382716076, -113.48927634261672)"
2727,EB 111 Ave between 113 - 110 St,60,(b),53.55882574,-113.51302431,"(53.558825735893926, -113.51302431393195)"
4054,SB 106 St btwn 42 - 40 Ave,30,(f),53.47654717,-113.50444638,"(53.476547167667015, -113.50444637510853)"
2744,WB 127 Ave between 88 - 90 St,60,(h),53.58479866,-113.47792261,"(53.58479866274416, -113.47792260832502)"
4172,NB 90 St Btwn 132 - 135 Ave,30,(f),53.59403769,-113.47973421,"(53.59403769067169, -113.4797342132804)"
4183,NB 106 St Btwn 56 - 60A Ave,30,(f),53.49477751,-113.50440225,"(53.494777511750634, -113.50440225299741)"
